id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,-33,0.85,met,85,green,red,high_Expectation,,,,,0,62,62,84,0.0012264000251889229,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-100,0.85,met,109,green,red,high_Expectation,,,,,0,63,63,108,0.001137400045990944,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-100,0.15,unmet,86,red,green,high_Expectation,,,,,0,64,64,85,0.0011511999764479697,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,178,green,red,high_Expectation,,,,,0,65,65,177,0.0011202000314369798,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,187,green,red,high_Expectation,,,,,0,66,66,186,0.0011051999754272401,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,170,green,red,high_Expectation,,,,,0,67,67,169,0.0011477000080049038,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,300,0.85,met,161,green,red,high_Expectation,,,,,0,68,68,160,0.0011437999783083797,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,97,green,red,high_Expectation,,,,,0,69,69,96,0.0011556000099517405,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,300,0.85,met,239,green,red,high_Expectation,,,,,0,70,70,238,0.0011847999994643033,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,33,0.85,met,201,green,red,high_Expectation,,,,,0,71,71,200,0.001220199977979064,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,300,0.85,met,56,green,red,high_Expectation,,,,,0,72,72,55,0.0012369999894872308,,,,,,,,,,,,,,None,0.19305555555555556,0.0,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-100,0.85,met,265,green,red,high_Expectation,,,,,0,73,73,264,0.0011438000365160406,,,,,,,,,,,,,,None,0.19305555555555556,0.0,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,233,0.85,met,116,green,red,high_Expectation,,,,,0,74,74,115,0.0011497000232338905,,,,,,,,,,,,,,None,0.19305555555555556,0.0,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,292,green,red,high_Expectation,,,,,0,75,75,291,0.00107709999429062,,,,,,,,,,,,,,None,0.19305555555555556,0.0,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,159,green,red,high_Expectation,,,,,0,76,76,158,0.0012322000111453235,,,,,,,,,,,,,,None,0.19305555555555556,0.0,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,33,0.85,met,194,green,red,high_Expectation,,,,,0,77,77,193,0.0011378999915905297,,,,,,,,,,,,,,None,0.19305555555555556,0.0,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.15,unmet,293,red,green,high_Expectation,,,,,0,78,78,292,0.0018486000481061637,,,,,,,,,,,,,,None,0.19305555555555556,-0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
